Reference, Quantity, Value, Footprint, Datasheet
C1 C3 C5 ,3,"250 µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C8 C10 ,2,"10 µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C12 ,1,"0.033 µF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C2 C4 C6 ,3,"0.05 µF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
C7 C9 C11 ,3,"0.1 µF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
J1 ,1,"Expansion_Connector","PC:Expansion_Connector_Board","~"
LINE_OUT1 ,1,"LINE OUT","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal","~"
LINE_OUT_VOLUME1 ,1,"10k Ω","Potentiometer_THT:Potentiometer_Piher_T-16H_Double_Horizontal",""
R1 R2 R3 R5 ,4,"10 Ω","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
R4 ,1,"? Ω","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
SOUND_CTRL1 ,1,"WD65C22","Socket:DIP_Socket-40_W11.9_W12.7_W15.24_W17.78_W18.5_3M_240-1280-00-0602J",""
SOUND_GEN1 ,1,"AY3-8913","Socket:DIP_Socket-24_W11.9_W12.7_W15.24_W17.78_W18.5_3M_224-1275-00-0602J","http://www.ym2149.com/ym2149.pdf"
SUB_OUT1 ,1,"SUB OUT","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal","~"
SUB_VOLUME1 ,1,"10k Ω","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal","~"
U1 ,1,"74HCT74","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74hc_hct74.pdf"
U2 ,1,"74HCT08","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS08"
U3 ,1,"74HCT21","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS21"
U4 ,1,"74HCT04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
U5 U6 U7 ,3,"LM386","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm386.pdf"
